pay_time,GMV
2022-01-01,425643.6299999999
2022-01-02,371007.87
2022-01-03,474884.4800000001
2022-01-04,263048.81
2022-01-05,326671.52000000014
2022-01-06,278209.70999999996
2022-01-07,71541.79999999999
2022-01-08,42136.96
2022-01-09,1504711.2200000004
2022-01-10,595786.6500000003
2022-01-11,405073.80999999994
2022-01-12,402721.8899999999
2022-01-13,329671.8300000002
2022-01-14,384326.96
2022-01-15,582305.72
2022-01-16,415611.4200000003
2022-01-17,432526.42000000016
2022-01-18,361977.55
2022-01-19,335840.95999999996
2022-01-20,344573.6300000003
2022-01-21,420411
2022-01-22,304769.3099999998
2022-01-23,314639.7900000001
2022-01-24,393247.50999999995
2022-01-25,346794.31000000023
2022-01-26,331645.7800000003
2022-01-27,268667.6700000001
2022-01-28,229176.0100000001
2022-01-29,207063.21999999997
2022-01-30,144835.91999999998
2022-01-31,154050.54
2022-02-01,147881.97
2022-02-02,123086.44999999995
2022-02-03,185551.44000000003
2022-02-04,204183.1100000001
2022-02-05,221182.43999999997
2022-02-06,196266.62
2022-02-07,224598.77
2022-02-08,205870.22
2022-02-09,221996.9300000001
2022-02-10,187101.38999999996
2022-02-11,171789.60999999996
2022-02-12,175919.84999999998
2022-02-13,192693.07999999996
2022-02-14,130731.33999999998
2022-02-15,176529.12999999998
2022-02-16,139265.09000000008
2022-02-17,169393.13999999998
2022-02-18,131181.11
2022-02-19,116262.59999999996
2022-02-20,131828.72999999998
2022-02-21,95280.99999999996
2022-02-22,94614.20999999996
2022-02-23,86475.41999999997
2022-02-24,81386.12
2022-02-25,122685.35999999993
2022-02-26,203069.74
2022-02-27,152310.61
2022-02-28,131429.65999999997
2022-03-04,852974.8099999999
2022-03-06,346315.7099999999
2022-03-05,420037.5999999998
2022-03-08,347937.30000000016
2022-03-01,96667.54000000001
2022-03-07,264494.17999999993
2022-03-02,43425
2022-03-03,49003.5
2022-03-09,104039
2022-03-10,107421.25
2022-03-11,138009
2022-03-12,164543.12
2022-03-13,143814
2022-03-14,114658.09
2022-03-15,117640.5
2022-03-16,122683.13
2022-03-17,105070.16
2022-03-18,82190.6
2022-03-19,135738.69
2022-03-20,36677.5
2022-03-21,1035835.650000002
2022-03-22,535764.1200000001
2022-03-23,306758.72000000003
2022-03-24,298999.82999999984
2022-03-25,114453.37999999996
2022-03-26,118749.93
2022-03-27,123802.43000000001
2022-03-28,99369.36999999998
2022-03-29,68399.54999999999
2022-03-30,75188.2
2022-03-31,68796.39000000001
2022-04-01,128449.60000000003
2022-04-02,79311.39
2022-04-03,97772.11000000002
2022-04-04,96140.31000000001
2022-04-05,96654.28
2022-04-06,100717.38
2022-04-07,70725.29999999999
2022-04-08,80533.21
2022-04-09,88592.89999999998
2022-04-10,97655.05000000002
2022-04-11,32056
2022-04-12,111217.11999999997
2022-04-13,73427.63
2022-04-14,61445.83
2022-04-15,61388.44
2022-04-16,67096.88
2022-04-17,58522.01
2022-04-18,59479.22
2022-04-19,65245.94
2022-04-20,46861.5
2022-04-21,47339.15
2022-04-22,20901.5
2022-04-23,131126.63
2022-04-24,87029.72000000002
2022-04-25,53852.16
2022-04-26,69215.43000000001
2022-04-27,18888.5
2022-04-28,9846.5
2022-04-29,119203.10999999997
2022-04-30,92689.68
2022-05-01,82350.06000000001
2022-05-02,71956.87
2022-05-03,60612.04000000001
2022-05-04,75671.89
2022-05-05,80432.26999999999
2022-05-06,40156.16
2022-05-07,22698.5
2022-05-08,47860.049999999996
2022-05-09,39273.55
2022-05-10,43335.5
2022-05-11,52710.5
2022-05-12,38058.8
2022-05-13,38449
2022-05-14,55373.4
2022-05-15,50063
2022-05-16,45503.16
2022-05-17,19382.5
2022-05-18,206532.02000000002
2022-05-19,72986.95
2022-05-20,106026.78
2022-05-21,29465
2022-05-22,44231.49
2022-05-23,26175.5
2022-05-24,21834
2022-05-25,17811
2022-05-26,47499.5
2022-05-31,1919756.4700000028
2022-06-02,328937.70999999985
2022-06-01,549522.1200000002
2022-05-27,32914.5
2022-06-03,524728.7599999998
2022-05-28,41529.5
2022-05-29,21510.5
2022-05-30,16493.5
2022-06-04,54804.73
2022-06-05,58440
2022-06-06,51852.5
2022-06-07,560333.4299999999
2022-06-08,285793.5899999999
2022-06-09,221721.40999999997
2022-06-10,46871.87
2022-06-11,61759.01
2022-06-12,45563.01
2022-06-13,51019.5
2022-06-14,26809
2022-06-15,1640117.2700000033
2022-06-16,649643.0300000005
2022-06-17,428405.35000000027
2022-06-18,755738.47
2022-06-19,483061.1799999998
2022-06-20,642638.5099999998
2022-06-21,135509.89000000004
2022-06-22,143604.37000000002
2022-06-23,154964.6
2022-06-24,145628.46000000008
2022-06-25,152426.57000000007
2022-06-26,156128.07000000007
2022-06-27,156106.99000000008
2022-06-28,132932.06
2022-06-29,118115.40000000004
2022-06-30,124308.94000000006
2022-07-01,97530.51000000004
2022-07-02,110393.78000000004
2022-07-03,118758.96000000004
2022-07-04,143008.65
2022-07-05,130992.06000000006
2022-07-06,120014.93000000004
2022-07-07,124722.65000000011
2022-07-08,109907.61000000003
2022-07-09,77701.57
2022-07-10,84138.09000000001
2022-07-11,38946.259999999995
2022-07-12,411136.9999999999
2022-07-13,269425.58000000013
2022-07-14,185143.01999999996
2022-07-15,239850.00999999992
2022-07-16,111750.71000000002
2022-07-17,123124.77
2022-07-18,85856.65
2022-07-19,110186.60999999999
2022-07-20,104833.81000000004
2022-07-21,85963.62
2022-07-22,81334.10999999999
2022-07-23,157072.51
2022-07-24,187891.8
2022-07-25,81524.09999999999
2022-07-26,41997.520000000004
2022-07-27,327231.14999999997
2022-07-28,159825.09000000005
2022-07-29,177112.47000000006
2022-07-30,52052.5
2022-07-31,277849.7999999999
2022-08-01,101018.5
